what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1290250452247
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1290250458633
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1290250460121
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1290250460294
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1290250460927
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1290250461143
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1290250462984
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1290250465195
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1290250465409
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineStart",1290250470482
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineStart",1290250470875
executed,command,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1290250482060
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1290250491958
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1290250493387
executed,command,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.commands.DebugLast",1290250493406
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1290250493451
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1290250494453
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1290250494964
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1290250495129
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1290250495160
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1290250495313
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1290250496889
activated,view,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.views.ProblemView",1290250497316
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.views.showView",1290250497316
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1290250499353
