what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1290460829042
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1290460830258
executed,command,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.commands.DebugLast",1290460830274
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1290460830341
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1290460831935
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1290460834160
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1290460855783
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1290460947041
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1290460947067
executed,command,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.commands.ToggleBreakpoint",1290460954072
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1290460955932
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1290460961127
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1290460961818
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1290460963032
executed,command,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.commands.DebugLast",1290460963046
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1290460963283
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1290460980593
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1290460986731
activated,perspective,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.DebugPerspective",1290460986831
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1290460986851
executed,command,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.commands.StepInto",1290460989173
executed,command,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.commands.StepInto",1290460990628
opened,editor,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1290460990847
activated,editor,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1290460990881
closed,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1290460990901
