what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1290253246775
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1290253251133
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1290253251966
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1290253252529
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1290253254175
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1290253256586
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1290253256626
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1290253257271
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1290253258478
executed,command,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.commands.DebugLast",1290253258497
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1290253258902
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1290253261751
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1290253266459
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1290253271134
executed,command,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.commands.ToggleBreakpoint",1290253271904
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1290253274555
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1290253276088
executed,command,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.commands.DebugLast",1290253276112
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1290253276522
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1290253278514
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1290253284389
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1290253284527
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1290253287791
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1290253288300
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1290253299275
