what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1290262255950
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1290262262601
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1290262443988
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1290262446772
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1290262448908
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1290262451507
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1290262453274
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1290262453691
opened,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1290262458321
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1290262458396
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1290262460270
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1290262463530
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1290262483806
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1290262486365
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1290262493705
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1290262499779
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1290262594914
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1290262597430
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1290262719992
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1290262721857
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1290262768319
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1290262769736
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1290262771129
executed,command,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.commands.DebugLast",1290262771139
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1290262771179
