what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1290460664884
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1290460665003
executed,command,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.commands.Resume",1290460666846
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1290460668390
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1290460670701
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1290460671657
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1290460673655
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1290460674346
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1290460727150
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1290460729059
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1290460730742
executed,command,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.commands.DebugLast",1290460730761
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1290460731573
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1290460733133
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1290460735685
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1290460737726
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1290460765126
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1290460765152
activated,perspective,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.JavaPerspective",1290460770463
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1290460772928
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1290460813753
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1290460814890
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1290460814914
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1290460816037
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1290460821119
