what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1290253600295
executed,command,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.commands.StepOver",1290253609159
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1290253609574
executed,command,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.commands.StepOver",1290253610329
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1290253616556
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1290253761429
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1290253764574
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1290253764699
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1290253764767
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.window.nextEditor",1290253764767
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.select.wordNext",1290253766367
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1290253778237
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1290253784641
opened,view,net.rim.ejde,1.1.2.201004161203-16,"net.rim.ejde.ui.viewers.ObjectsView",1290253784983
activated,view,net.rim.ejde,1.1.2.201004161203-16,"net.rim.ejde.ui.viewers.ObjectsView",1290253785032
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.views.showView",1290253785033
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.views.showView",1290253785033
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1290253792732
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1290253792738
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1290253803190
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1290253918308
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1290253919473
executed,command,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.commands.DebugLast",1290253919490
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1290253919561
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1290253920647
